,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,44,PF,1551632313,100,-23.12,-134.97,299.041,5.81
1,Yarkovo,90,RU,1551630600,74,54.81,82.6,274.15,11.0
2,Kaoma,48,ZM,1551632316,32,-14.8,24.8,301.341,2.86
3,Kristinehamn,90,SE,1551632318,100,59.31,14.11,275.93,2.1
4,Kichha,0,IN,1551632319,88,28.91,79.52,284.691,1.51
5,Upernavik,76,GL,1551632321,100,72.79,-56.15,262.091,7.01
6,Albany,75,US,1551632078,50,42.65,-73.75,276.48,5.7
7,Coihaique,75,CL,1551628800,62,-45.58,-72.07,285.15,3.1
8,Ushuaia,75,AR,1551628800,62,-54.81,-68.31,284.15,4.31
9,Armidale,12,AU,1551631611,69,-30.51,151.67,287.04,0.89
10,Algiers,75,US,1551632068,83,29.94,-90.04,299.82,8.2
11,Mataura,0,NZ,1551631807,93,-46.19,168.86,282.59,1.31
12,Grove City,90,US,1551632325,92,39.88,-83.09,273.15,4.6
13,Cabo San Lucas,5,MX,1551632148,53,22.89,-109.91,302.04,0.81
